host_response_time,host_response_rate,host_is_superhost,latitude,longitude,room_type,accommodates,bathrooms,bedrooms,price,review_scores_rating,distance_from_syntagma
within an hour,100%,t,37.97980499267578,23.725061416625977,Entire home/apt,4,1.0,1.0,99.0,4.92,0.9863008630614549
within an hour,100%,t,37.9577,23.72516,Entire home/apt,2,1.0,0.0,77.0,4.95,2.155583923516173
within an hour,100%,,37.98554,23.74768,Entire home/apt,5,1.5,2.0,53.0,4.72,1.5814562709386286
,,t,37.97513,23.75287,Entire home/apt,6,3.5,3.0,139.0,4.81,1.5756487719013834
within an hour,100%,f,37.98446,23.74065,Entire home/apt,5,1.0,1.0,75.0,4.76,1.1165173874938323
within an hour,100%,t,37.96630096435547,23.723634719848636,Entire home/apt,10,2.0,4.0,163.0,4.85,1.4217687496281952
,,f,38.021034240722656,23.7317008972168,Entire home/apt,4,1.0,2.0,72.0,4.67,5.070930554432554
within an hour,100%,f,37.99263,23.72616,Entire home/apt,4,1.0,2.0,56.0,4.53,2.053018609863668
within an hour,100%,f,37.99268,23.72619,Entire home/apt,4,1.0,1.0,52.0,4.43,2.0572007536787122
within an hour,100%,t,37.97159,23.74666,Private room,2,1.0,1.0,213.0,4.92,1.1187528217335725
within a few hours,100%,f,37.99516,23.76532,Entire home/apt,7,1.5,2.0,67.0,4.81,3.4477028144885162
within an hour,100%,t,37.97472,23.73228,Entire home/apt,2,1.0,1.0,174.0,4.85,0.24548197041847208
within an hour,100%,t,37.961273193359375,23.7398624420166,Entire home/apt,4,1.0,1.0,106.0,4.9,1.6406693240549077
within an hour,100%,t,37.97296,23.72936,Entire home/apt,2,1.0,1.0,111.0,4.91,0.5617630827459268
within an hour,100%,f,37.97755432128906,23.70711708068848,Entire home/apt,4,1.0,2.0,81.0,4.87,2.445886434344571
within a few hours,100%,t,37.97078,23.74298,Entire home/apt,2,1.0,1.0,99.0,4.92,0.8815198158477365
,,f,37.97809,23.72315,Private room,2,1.0,1.0,108.0,4.59,1.0694025466268848
within an hour,100%,t,37.98625,23.72994,Entire home/apt,5,2.0,3.0,181.0,4.99,1.2719411671141938
within an hour,100%,t,37.97811,23.72375,Entire home/apt,5,1.0,1.0,166.0,4.25,1.0194843457693619
,,f,37.97683,23.72293,Entire home/apt,4,1.0,1.0,45.0,4.58,1.0595573808497771
within an hour,100%,t,37.97748,23.72498,Entire home/apt,4,2.0,1.0,185.0,4.8,0.8969379164586068
within an hour,100%,t,37.97755,23.72375,Entire home/apt,5,1.0,1.0,165.0,4.69,1.003538594572633
within an hour,100%,t,37.97958,23.72377,Entire home/apt,4,1.0,1.0,145.0,4.83,1.0758718555724676
within an hour,100%,t,37.97763,23.72392,Entire home/apt,2,1.0,1.0,134.0,4.55,0.9911207574244469
within an hour,100%,t,37.97957,23.72392,Entire home/apt,2,1.0,1.0,125.0,4.69,1.063491333015376
within an hour,100%,f,37.97978,23.72849,Entire home/apt,4,1.0,1.0,80.0,4.8,0.736309115426411
,,t,37.966409,23.7295341,Entire home/apt,3,1.0,1.0,140.0,5.0,1.114945811060676
within a few hours,75%,t,37.97464,23.74885,Entire home/apt,4,1.0,2.0,123.0,4.88,1.2264871095599121
within an hour,100%,t,37.97813,23.72186,Entire home/apt,8,3.0,3.0,127.0,4.85,1.1797821047886823
within an hour,100%,t,37.98005,23.72356,Entire home/apt,3,1.0,1.0,90.0,4.77,1.1153008644526674
within an hour,100%,f,37.99229,23.7298,Entire home/apt,4,1.0,2.0,78.0,4.53,1.919722966974685
a few days or more,0%,f,37.990210395628985,23.759532960582995,Entire home/apt,3,1.5,2.0,71.0,4.5,2.7085958745290037
within a few hours,100%,f,37.98049545288086,23.71485710144043,Entire home/apt,4,1.5,1.0,45.0,4.71,1.8424676306292878
within a few hours,100%,f,37.9707,23.71315,Entire home/apt,6,1.0,2.0,101.0,4.77,1.9797969116432566
within an hour,100%,t,37.97738,23.7245,Entire home/apt,4,1.0,1.0,96.0,4.92,0.9352325333480636
within a day,100%,f,37.973968505859375,23.716068267822266,Entire home/apt,4,2.0,2.0,91.0,4.6,1.6594185793611143
within an hour,100%,t,38.0033,23.73296,Entire home/apt,4,1.0,2.0,73.0,4.73,3.0958906656629113
within an hour,100%,f,37.97136,23.73137,Entire home/apt,3,1.0,1.0,79.0,4.3,0.5546714416373058
within an hour,100%,t,37.97575,23.73114,Entire home/apt,2,1.0,1.0,139.0,4.87,0.33074150453437434
a few days or more,14%,f,37.99122,23.76317,Entire home/apt,4,1.0,2.0,60.0,4.82,3.032200577746168
within an hour,100%,t,37.97622,23.72568,Entire home/apt,5,1.5,2.0,171.0,4.98,0.812104022660983
within an hour,100%,f,37.990089,23.744446,Entire home/apt,3,1.0,2.0,51.0,4.57,1.8252613509093563
within an hour,100%,t,37.96487,23.71852,Entire home/apt,5,1.0,1.0,73.0,4.92,1.859779300544224
within an hour,100%,f,38.00657,23.74059,Entire home/apt,2,1.0,0.0,46.0,4.53,3.4906248409240677
within an hour,100%,t,37.9758,23.71656,Entire home/apt,2,1.0,1.0,84.0,4.96,1.6078816318032638
,,f,37.97771,23.75486,Entire home/apt,3,1.0,1.0,62.0,4.83,1.7666832545232618
within a few hours,100%,t,37.99923,23.7189,Entire home/apt,3,1.0,1.0,51.0,4.97,2.9880906734438875
within an hour,100%,f,37.97627,23.72345,Private room,2,1.0,1.0,39.0,4.5,1.0072564501006922
within an hour,100%,t,37.98058,23.73617,Entire home/apt,2,1.0,1.0,124.0,4.85,0.5757336536945
within an hour,100%,t,37.99752,23.73782,Entire home/apt,2,1.0,1.0,73.0,4.95,2.4618489187688555
,,f,37.97472,23.72406,Entire home/apt,4,1.5,1.0,46.0,4.6,0.9541037445525405
,,f,37.99615,23.72603,Entire home/apt,4,1.0,1.0,57.0,4.33,2.424193918685466
within an hour,100%,f,37.97238,23.72543,Entire home/apt,4,1.0,2.0,89.0,4.53,0.8996646100407644
